slope,aspect,slope_shape,lithology_grade,fault_distance_km,lineament_density,geomorphology_unit,lulc_class,twi,rainfall_24h_mm,rainfall_72h_antecedent_mm,rainfall_intensity_max_mm_h,soil_saturation_pct,pore_water_pressure_kpa,sar_coherence_loss,sar_backscatter_diff_db,ndvi_vegetation_loss,osm_road_distance_m,osm_settlement_distance_m,geotechnical_fs,landslide_occurrence,risk_severity
36.55,173.41,0.647,1,3.779,3.668,1,2,4.96,8.49,96.09,1.84,74.68,12.92,0.465,-3.01,0.206,22.4,1305.7,1.204,0,MODERATE
14.52,20.1,0.142,4,0.875,2.602,3,1,7.52,90.17,277.53,10.81,100.0,49.96,0.562,-2.24,0.065,616.4,15.7,0.805,0,HIGH
18.33,351.98,-0.844,3,0.178,1.311,3,0,4.43,11.42,62.52,1.34,62.98,8.46,0.299,-3.23,0.235,257.4,1038.5,2.729,0,LOW
26.06,284.61,0.37,4,0.366,1.376,3,1,8.24,23.74,95.88,4.01,80.52,13.9,0.452,-3.03,0.09,309.0,201.9,1.011,1,HIGH
25.58,176.44,-0.528,1,1.37,2.009,1,2,8.74,26.36,85.36,2.17,78.04,15.15,0.412,-2.21,0.113,356.5,470.6,1.695,0,LOW
8.8,31.17,0.081,4,2.453,1.117,1,3,9.09,302.07,514.9,51.8,100.0,92.68,0.98,-6.27,0.276,492.5,435.2,0.657,1,CRITICAL
17.33,213.28,-0.271,3,17.495,0.118,2,2,8.53,57.93,198.93,8.31,100.0,42.76,0.521,-6.53,0.095,375.8,84.8,1.287,1,HIGH
20.22,273.15,0.75,3,2.001,0.209,1,0,10.64,97.7,258.92,10.33,100.0,46.61,0.721,-8.23,0.084,83.3,85.0,0.925,1,HIGH
27.59,68.66,0.504,5,2.603,1.567,2,1,6.28,52.68,129.63,7.8,87.79,20.48,0.572,-4.4,0.073,888.2,108.0,0.829,1,CRITICAL
25.53,204.56,-0.26,2,4.158,0.609,0,2,5.17,265.45,596.21,58.36,100.0,95.0,0.98,-5.2,0.108,44.0,140.9,0.591,1,CRITICAL
21.25,293.12,-0.045,3,0.698,0.192,3,2,6.21,12.69,48.47,2.51,61.69,5.38,0.412,-4.62,0.195,149.8,207.5,2.452,0,LOW
5.83,276.57,0.086,2,9.452,3.623,0,1,4.54,60.36,111.51,13.06,78.85,15.83,0.391,2.18,0.166,212.9,273.1,7.634,0,MODERATE
21.84,289.08,0.302,3,2.635,1.224,0,2,7.67,103.77,220.07,21.75,100.0,39.61,0.835,-1.15,0.107,15.5,200.2,1.058,1,HIGH
22.93,316.56,0.01,3,1.132,2.163,2,2,7.19,64.37,152.76,12.54,96.83,26.62,0.576,-0.81,0.084,37.3,400.4,1.416,0,MODERATE
68.0,337.57,-0.359,1,9.573,0.836,0,2,8.55,147.71,455.64,18.74,100.0,95.0,0.98,-2.02,0.051,58.6,76.9,0.736,1,CRITICAL
19.86,145.99,-0.251,4,3.437,0.292,0,2,3.94,59.67,172.1,10.87,97.17,37.26,0.59,-1.33,0.069,571.7,1212.0,0.815,1,CRITICAL
26.14,204.76,-0.002,4,2.314,3.154,0,2,7.47,113.83,346.2,15.35,100.0,62.32,0.955,-2.21,0.067,257.6,817.1,0.251,1,CRITICAL
39.67,284.64,0.432,4,3.038,0.612,0,0,10.17,12.57,52.96,1.76,70.26,6.7,0.5,1.65,0.121,29.7,23.9,0.719,1,CRITICAL
32.91,250.97,0.15,1,4.828,0.205,1,3,8.76,19.75,95.81,4.0,81.42,14.04,0.442,0.91,0.403,369.6,278.6,1.29,0,MODERATE
44.63,358.39,-0.271,2,0.588,2.508,1,0,3.33,38.16,151.89,4.15,89.6,29.08,0.651,-1.21,0.08,170.6,758.6,0.503,1,CRITICAL
8.89,4.92,0.227,4,7.004,0.155,2,2,7.47,124.02,275.92,15.07,100.0,49.67,0.887,1.13,0.176,48.5,195.6,1.418,0,MODERATE
11.98,127.85,-0.135,1,11.223,1.889,1,0,5.89,36.15,160.21,7.6,96.87,32.27,0.385,-1.73,0.082,230.8,247.8,2.389,0,LOW
15.83,101.17,0.312,4,2.93,1.284,2,2,7.53,64.18,116.75,11.42,85.91,18.06,0.482,-3.62,0.316,136.0,2458.0,1.613,0,MODERATE
7.92,94.43,0.884,1,4.013,1.41,2,3,6.66,32.75,106.72,2.92,81.14,15.59,0.308,-5.56,0.217,292.7,633.9,5.633,0,LOW
23.03,80.11,-0.126,2,6.877,0.116,1,0,11.33,106.5,303.8,10.33,100.0,67.46,0.796,-5.14,0.092,1099.8,145.9,0.639,1,CRITICAL
12.57,255.28,0.281,4,1.644,4.054,0,3,7.69,14.53,48.8,2.34,64.46,5.66,0.31,1.52,0.213,364.1,374.8,2.547,0,LOW
47.62,30.51,-0.261,4,17.283,2.22,3,0,8.2,58.55,135.07,11.23,92.98,29.63,0.713,-2.46,0.071,201.2,730.4,0.215,1,CRITICAL
13.77,266.98,-0.039,4,3.994,2.447,2,0,7.4,56.06,99.63,10.71,80.21,14.38,0.465,-1.12,0.059,265.6,148.0,2.001,1,HIGH
18.39,249.63,0.01,5,1.931,2.831,0,3,8.54,33.56,82.74,4.68,76.86,11.45,0.426,-1.67,0.209,416.3,35.6,1.546,0,LOW
33.92,90.29,-0.068,4,3.959,3.37,3,2,7.02,79.38,189.4,9.22,100.0,34.09,0.754,-5.79,0.129,73.2,180.1,0.398,1,CRITICAL
10.1,91.02,0.862,3,2.581,2.592,2,0,9.2,1.88,17.35,0.36,57.11,1.78,0.195,-1.96,0.173,40.7,963.9,5.507,0,LOW
7.57,226.39,-0.107,5,0.414,3.225,0,3,6.64,119.73,213.07,25.4,100.0,52.72,0.767,-5.68,0.207,240.2,283.9,1.686,0,MODERATE
24.55,274.38,0.205,4,5.561,1.94,3,2,10.53,27.8,96.55,3.95,84.85,14.75,0.446,-2.84,0.07,383.3,409.3,1.057,1,HIGH
25.56,315.53,-0.676,4,2.908,1.622,1,0,8.59,102.38,164.7,10.16,100.0,41.93,0.77,-5.47,0.081,153.6,19.0,0.491,1,CRITICAL
33.4,306.77,0.151,3,5.561,3.475,3,3,7.16,23.66,122.01,3.91,86.94,19.09,0.525,-0.47,0.421,60.3,123.2,1.092,1,HIGH
29.32,347.36,0.4,5,0.589,3.648,0,1,9.35,13.53,65.59,1.22,72.82,8.6,0.375,0.56,0.123,284.6,691.2,0.974,0,HIGH
26.08,209.3,-0.185,2,2.705,0.665,0,0,8.58,32.07,68.9,5.31,72.5,12.84,0.468,-1.75,0.059,316.2,559.1,1.743,0,LOW
14.73,327.12,-0.879,1,5.093,2.325,2,2,9.32,103.76,221.27,10.81,100.0,52.28,0.676,-8.25,0.087,435.2,52.9,1.039,1,HIGH
25.19,291.06,-0.014,2,15.57,2.903,0,2,7.69,79.02,187.09,12.03,100.0,33.68,0.699,-6.16,0.15,247.1,772.8,0.991,1,HIGH
26.02,322.08,0.006,1,7.552,0.443,0,2,6.97,33.32,108.96,5.58,82.41,16.16,0.484,-0.25,0.356,127.6,341.5,1.602,0,LOW
14.41,4.19,0.253,2,6.992,3.911,2,3,7.8,180.6,372.15,25.74,100.0,66.99,0.98,-6.7,0.307,69.3,129.4,0.954,1,CRITICAL
54.48,347.73,0.704,4,0.995,2.232,0,3,6.4,34.16,74.25,6.69,70.28,9.39,0.668,-3.77,0.216,12.2,76.1,0.445,1,CRITICAL
28.61,170.47,-0.133,4,6.37,2.746,3,0,9.65,28.08,80.77,3.72,78.23,14.74,0.526,-1.59,0.187,143.4,84.6,0.898,0,HIGH
12.11,287.35,-0.3,2,0.649,0.831,1,3,10.73,10.16,97.74,1.03,85.59,16.28,0.277,-3.37,0.2,411.7,243.6,3.546,0,LOW
33.49,45.79,-0.408,4,0.773,1.184,3,1,8.77,4.74,75.63,0.69,75.0,10.78,0.385,-6.6,0.103,391.4,939.7,0.807,0,HIGH
36.46,142.54,0.069,3,0.408,0.596,1,1,10.62,27.99,86.68,6.02,81.85,12.77,0.524,-4.07,0.084,797.2,206.3,1.142,0,MODERATE
27.72,97.73,0.168,3,6.822,1.182,2,3,9.98,6.27,84.37,1.27,79.96,12.14,0.316,-2.33,0.434,5.1,473.8,1.594,0,LOW
19.25,105.0,-0.191,3,0.401,2.119,1,2,6.91,40.37,126.09,4.99,87.79,24.77,0.425,-3.39,0.054,54.4,69.3,1.855,0,LOW
14.04,44.37,0.273,5,0.52,3.518,2,1,9.34,127.8,224.23,14.57,100.0,40.36,0.924,-2.0,0.074,303.1,29.7,1.186,1,HIGH
21.22,290.07,0.163,2,0.988,2.288,1,2,4.68,42.02,76.43,6.2,67.88,9.34,0.462,-1.82,0.074,218.5,238.3,2.331,0,LOW
26.69,3.33,0.015,1,2.976,1.102,1,1,7.91,42.58,115.47,7.31,86.19,17.91,0.665,-2.01,0.094,354.5,80.9,1.475,0,LOW
22.33,112.5,-0.316,2,7.426,0.283,0,0,4.9,19.0,109.13,3.98,78.74,17.75,0.316,1.31,0.255,137.8,97.4,1.85,0,LOW
45.65,62.79,-0.169,4,1.896,2.65,0,3,7.26,11.82,48.94,1.96,63.73,7.03,0.543,-5.34,0.285,121.8,141.4,0.612,1,CRITICAL
30.91,212.05,-0.85,4,2.766,1.823,1,2,4.33,16.34,52.81,3.22,59.7,7.64,0.44,2.38,0.06,336.0,28.6,0.966,0,HIGH
13.11,91.53,0.083,2,0.637,4.136,2,2,9.91,54.55,135.39,9.68,96.16,23.43,0.479,1.84,0.189,147.1,726.2,2.766,0,LOW
11.32,93.24,0.009,1,1.082,3.297,1,2,6.63,58.24,192.17,5.49,100.0,34.59,0.402,-2.65,0.13,84.0,351.5,2.333,1,HIGH
28.74,175.8,0.066,4,0.503,3.414,1,0,9.49,16.17,51.53,3.31,68.58,6.36,0.342,-2.51,0.051,100.5,235.2,1.051,0,MODERATE
19.5,234.97,0.177,4,1.846,0.15,3,3,7.33,33.09,107.98,3.57,82.75,16.08,0.431,1.5,0.401,69.4,181.1,1.341,0,MODERATE
32.3,43.67,0.135,3,3.123,3.289,2,1,3.44,54.66,180.05,7.18,98.81,32.02,0.581,-2.95,0.054,5.0,0.4,0.766,0,HIGH
28.6,63.18,-0.039,4,1.169,0.898,3,0,6.43,92.89,294.52,18.36,100.0,53.01,0.854,-2.17,0.125,329.7,915.9,0.236,1,CRITICAL
21.27,88.98,0.017,5,6.548,2.502,3,3,6.33,25.05,104.41,5.44,79.81,15.0,0.384,-1.01,0.273,371.6,645.7,1.249,1,HIGH
13.2,350.55,-0.492,2,13.916,1.934,0,3,7.47,20.58,112.5,2.54,84.44,19.57,0.321,-0.39,0.275,439.4,591.0,3.07,0,LOW
8.14,142.97,-0.204,3,0.448,2.444,3,2,10.82,85.22,231.45,11.39,100.0,51.89,0.589,-5.65,0.201,55.3,86.3,2.229,0,MODERATE
24.94,215.64,0.018,1,0.063,0.647,0,0,11.18,46.88,149.08,6.94,100.0,26.83,0.531,-1.04,0.061,686.9,24.1,1.19,0,MODERATE
9.99,86.96,-0.258,4,5.459,1.973,3,0,6.99,126.3,277.62,18.91,100.0,65.13,0.887,-5.93,0.111,112.7,30.1,0.621,1,CRITICAL
12.88,176.57,0.301,3,0.74,0.251,2,1,4.73,15.4,87.54,2.85,71.52,11.27,0.334,-3.01,0.118,629.7,345.8,3.695,0,LOW
24.14,26.68,-0.231,2,1.525,0.268,2,2,5.86,95.8,209.64,18.62,100.0,49.23,0.78,-0.79,0.091,89.0,454.9,0.616,1,CRITICAL
22.9,12.51,0.076,4,1.754,2.797,2,2,8.56,11.49,74.02,2.51,74.09,9.87,0.374,-2.69,0.11,12.0,2843.4,1.264,0,MODERATE
10.76,168.74,0.041,4,8.694,4.002,3,2,7.26,57.13,165.74,11.0,100.0,29.83,0.53,-3.94,0.106,204.4,332.5,1.902,0,LOW
38.58,143.52,0.261,1,3.764,3.287,2,2,4.03,21.68,97.64,2.64,73.51,12.92,0.487,-1.12,0.164,211.6,181.8,1.137,1,HIGH
38.06,49.28,0.315,1,0.145,2.024,1,2,6.39,6.93,61.48,0.9,66.18,7.32,0.361,2.03,0.063,647.3,512.4,1.348,0,MODERATE
29.22,247.54,0.243,2,0.052,0.329,0,2,10.39,62.34,225.97,10.38,100.0,40.68,0.673,3.57,0.052,310.5,464.7,0.595,1,CRITICAL
29.2,357.45,-0.737,4,0.779,0.285,2,2,8.14,45.94,122.01,8.09,88.7,24.99,0.626,0.74,0.264,490.2,10.4,0.688,0,HIGH
29.22,142.43,0.418,4,1.34,0.747,0,3,7.6,43.26,96.28,4.01,79.5,13.78,0.464,0.76,0.23,536.9,59.4,0.889,0,HIGH
68.0,224.84,0.535,3,2.319,4.101,2,3,6.64,58.35,198.91,7.48,100.0,35.8,0.905,-2.43,0.326,187.3,530.5,0.602,0,HIGH
36.3,346.67,-0.169,3,6.367,1.735,2,0,6.49,30.28,91.41,3.28,75.93,16.13,0.53,4.59,0.081,668.9,38.7,1.092,0,MODERATE
31.31,299.35,0.083,4,1.323,3.558,1,3,8.7,72.1,197.34,10.89,100.0,35.52,0.662,-2.15,0.2,360.2,738.4,0.438,1,CRITICAL
13.87,166.88,-0.312,3,1.654,2.991,2,0,7.81,9.12,80.78,0.94,74.91,11.99,0.249,-1.47,0.069,32.4,1072.7,3.364,0,LOW
19.35,265.5,-0.682,4,1.398,2.582,2,3,9.2,81.59,171.51,13.16,100.0,40.66,0.607,-1.88,0.209,80.3,100.4,0.759,1,CRITICAL
65.31,46.13,-0.259,3,0.05,3.986,3,2,8.7,56.36,175.56,8.2,100.0,38.36,0.888,-1.67,0.188,30.3,316.9,0.551,1,CRITICAL
6.09,184.36,-0.189,5,10.87,1.045,1,2,7.54,43.32,121.72,5.92,87.53,24.37,0.4,-5.35,0.065,245.3,170.0,3.928,0,LOW
16.79,100.46,-0.124,2,0.524,1.965,3,1,8.35,8.88,31.64,1.52,60.15,4.49,0.175,-3.12,0.455,70.7,331.2,3.243,0,LOW
38.69,58.02,-0.336,2,1.187,3.645,3,0,6.2,21.2,82.98,2.93,72.71,13.4,0.463,-0.67,0.126,798.7,430.7,1.101,0,MODERATE
14.4,153.46,-0.257,1,0.485,2.362,3,0,7.39,22.75,66.83,3.09,69.7,11.11,0.399,-3.63,0.081,626.7,5.3,3.427,0,LOW
31.76,47.17,-0.004,4,2.36,1.11,3,3,10.45,17.31,56.43,2.96,71.87,7.3,0.399,0.07,0.256,443.9,1015.9,0.919,1,HIGH
22.74,251.63,-0.27,3,9.417,0.957,2,1,7.52,200.4,620.94,17.64,100.0,95.0,0.98,-5.12,0.311,587.9,207.4,0.586,1,CRITICAL
15.0,164.25,0.19,2,0.371,3.187,0,2,7.02,160.72,336.47,22.59,100.0,60.56,0.98,-2.07,0.131,517.7,95.8,0.92,1,CRITICAL
5.3,191.21,0.239,5,2.035,0.152,2,3,7.96,51.35,187.62,5.51,100.0,33.77,0.395,-2.54,0.312,54.0,14.7,3.761,0,LOW
24.57,52.7,0.833,5,0.079,3.848,2,0,4.94,14.97,101.0,1.28,76.2,13.85,0.379,-0.3,0.104,26.8,2214.2,1.09,1,HIGH
13.69,50.32,0.394,5,5.158,0.176,3,2,7.99,157.34,326.2,13.35,100.0,58.72,0.98,-8.88,0.111,335.5,641.2,0.708,0,HIGH
20.77,210.03,0.085,1,3.588,2.687,2,1,11.23,89.96,196.35,9.31,100.0,35.34,0.78,-7.02,0.38,117.3,273.9,1.132,0,MODERATE
29.07,354.6,-0.217,5,4.21,2.579,2,0,5.72,2.57,69.41,0.36,67.51,8.74,0.31,-3.26,0.124,275.5,904.0,0.991,1,HIGH
34.79,34.65,0.103,2,2.238,2.471,2,3,8.09,43.86,143.59,6.99,95.51,24.69,0.593,-1.3,0.262,281.5,274.1,0.849,1,CRITICAL
16.76,102.86,0.114,1,8.337,2.045,1,2,7.45,60.37,177.0,11.56,100.0,31.86,0.514,-4.36,0.215,546.2,524.0,1.646,0,MODERATE
14.98,313.01,-0.18,3,1.844,3.595,0,0,7.39,4.47,83.25,0.74,74.94,11.77,0.276,0.53,0.098,49.4,1417.8,3.116,0,LOW
9.88,26.02,0.274,3,2.526,2.803,2,1,7.35,3.32,50.31,0.51,64.33,5.83,0.235,-0.3,0.101,605.8,551.3,5.28,0,LOW
35.68,315.32,-0.489,1,4.159,3.306,1,3,9.07,40.48,127.13,3.44,92.01,25.91,0.606,-3.16,0.299,109.9,123.6,0.777,1,CRITICAL
60.5,188.74,-0.086,3,2.573,0.574,1,0,5.08,0.13,61.12,0.02,63.71,7.01,0.692,-0.64,0.064,620.1,1218.9,0.819,1,CRITICAL
37.68,146.98,0.195,4,0.735,0.305,2,1,9.02,3.12,26.56,0.55,59.73,2.86,0.445,-2.37,0.061,63.7,10.1,0.838,0,HIGH
41.99,111.49,-0.101,3,1.335,0.217,2,2,7.65,11.73,91.72,1.38,78.12,14.31,0.557,-0.65,0.127,48.9,1139.1,0.939,1,HIGH
14.47,106.96,-0.072,3,0.339,0.704,2,3,3.62,156.5,380.88,25.54,100.0,68.56,0.954,-5.61,0.216,267.8,1473.1,0.864,1,HIGH
28.17,110.09,-0.048,2,1.984,2.835,3,2,8.34,94.49,263.5,15.55,100.0,47.43,0.763,-2.1,0.096,655.8,43.3,0.553,0,HIGH
33.28,318.53,-0.292,5,3.29,2.125,1,1,7.75,38.91,121.87,4.77,87.95,23.96,0.66,1.42,0.181,186.8,25.9,0.601,1,CRITICAL
3.0,260.57,0.411,1,0.442,3.184,1,1,5.58,42.41,149.25,6.79,92.81,24.93,0.268,-5.14,0.08,24.1,821.0,11.955,0,LOW
11.7,241.1,-0.356,3,3.485,0.886,2,2,7.85,75.3,200.6,7.23,100.0,45.14,0.608,-4.44,0.158,571.9,11.4,1.881,0,MODERATE
49.35,287.55,0.111,2,7.818,1.605,3,0,4.6,41.81,141.12,7.6,88.44,22.47,0.768,-3.67,0.082,192.7,734.9,0.522,1,CRITICAL
8.7,92.56,0.145,5,1.442,3.743,2,2,5.99,4.29,31.31,0.36,55.81,3.15,0.25,-0.51,0.053,197.1,195.9,3.814,0,LOW
45.4,222.5,-0.332,1,0.879,3.936,0,2,7.58,87.24,213.77,7.41,100.0,48.95,0.82,-0.85,0.058,68.1,10.0,0.511,1,CRITICAL
8.66,165.62,0.026,3,7.822,3.879,2,2,3.79,3.87,58.2,0.78,60.45,6.33,0.171,-5.63,0.096,62.0,463.3,6.038,0,LOW
