sample_id,latitude,longitude,timestamp,year,region,district,mountain_belt,label_landslide,risk_category,susceptibility_score,geotechnical_fs,elevation,slope,aspect,curvature,plan_curvature,profile_curvature,roughness,twi,rain_1h,rain_3h,rain_6h,rain_12h,rain_24h,rain_48h,rain_72h,rain_7d,rain_15d,rain_30d,soil_type,soil_depth,lithology,lithology_grade,geomorphology,landcover,lulc_class,ndvi,distance_to_stream_m,flow_accumulation,distance_to_fault_km,sar_coherence_loss,sar_backscatter_diff_db,ndvi_change,population_density,distance_to_road_m,distance_to_bridge_m,distance_to_hospital_m,gsi_susceptibility,data_quality,source_count
SMP-POS-02509,23.72261,92.71817,2024-05-28T06:00:00,2024,Mizoram,Aizawl,Himalayas,1,CRITICAL,0.802,0.805,1381.347155986551,47.51,115.42,-0.20670994425286893,-0.21254705238630014,-0.1580141809151707,6.005318641119814,5.78,0.0,0.5,2.2,17.7,75.1,100.5,123.8,176.2,195.8,266.4,Sandstone & Siltstone Weathered Overburden,1.95,Surma Group Sandstone & Shale Intercalations,5,Anticlinal Ridge Flank & Stone Quarry Cut,Quarry Site & Peri-Urban Hill Settlement,1,0.396,144.9,364.9,4.81,0.75,4.21,-0.458,703.3,41.6,2136.6,4724.4,High,VALID,4
SMP-NEG-00211,11.42386,76.31886,2018-02-15T12:00:00,2018,Kerala,Malappuram,Western Ghats,0,LOW,0.228,2.086,30.0,9.8,159.88,-0.02593270579854604,0.0,0.0,0.8151090980024998,4.21,1.4,5.5,9.2,19.6,30.1,58.3,72.0,113.5,194.6,326.9,Residual Sandy Loam Over Crystalline Rock,0.51,Unweathered Crystalline Basement,1,Planar Ridge Plateau / Pediment,Undisturbed Evergreen Canopy,0,0.723,670.6,126.9,44.4,0.128,1.14,-0.011,35.6,1881.9,6210.9,19208.9,Low,VALID,4
SMP-NEG-02606,14.43643,74.65443,2022-11-15T12:00:00,2022,Karnataka,Uttara Kannada,Western Ghats,0,LOW,0.132,3.724,30.0,3.23,235.86,0.05,0.0,0.0,0.2577854748196326,3.73,3.3,7.0,13.4,21.7,35.4,59.2,71.1,115.2,194.0,265.1,Residual Sandy Loam Over Crystalline Rock,1.15,Unweathered Crystalline Basement,1,Planar Ridge Plateau / Pediment,Undisturbed Evergreen Canopy,0,0.82,2735.5,64.1,19.72,0.124,0.99,-0.017,84.9,5675.5,8733.8,21783.5,Low,VALID,4
SMP-POS-01565,18.91377,73.24006,2023-07-19T22:30:00,2023,Maharashtra,Raigad,Western Ghats,1,HIGH,0.935,1.305,456.729255448634,41.14,289.95,-0.2433958281389244,-0.4465121878552127,0.011734216790972474,4.818383797693582,5.87,1.2,4.2,21.2,38.2,72.0,120.5,169.9,257.3,534.7,986.3,Basaltic Boulder Colluvium,2.31,Deccan Volcanic Basalt Jointed Columnar,3,Escarpment & Talus Cone,Dense Scrub & Tribal Hamlet,2,0.677,235.2,395.1,5.21,0.843,3.8,-0.226,114.3,712.2,3790.7,15075.3,Very High,VALID,4
SMP-NEG-00089,24.76937,93.59837,2019-11-15T12:00:00,2019,Manipur,Noney,Himalayas,0,LOW,0.233,2.271,30.0,3.96,125.02,-0.00021792351816093305,0.0,0.0,0.33472940875523854,5.63,2.9,5.5,11.8,21.8,33.9,67.8,98.9,188.2,257.1,311.3,Residual Sandy Loam Over Crystalline Rock,0.64,Unweathered Crystalline Basement,1,Planar Ridge Plateau / Pediment,Undisturbed Evergreen Canopy,0,0.8,3217.6,72.1,25.46,0.106,0.27,0.003,103.9,714.3,2421.3,4711.0,Low,VALID,4
SMP-NEG-02895,31.17171,77.20571,2022-03-15T12:00:00,2022,Himachal Pradesh,Shimla,Himalayas,0,LOW,0.12,4.602,1339.9837339513451,3.62,50.02,-0.0023256101979665113,0.0,0.0,0.3003248896366537,4.45,3.1,4.0,11.7,14.6,37.8,67.7,108.9,163.9,262.1,438.3,Residual Sandy Loam Over Crystalline Rock,1.09,Unweathered Crystalline Basement,1,Planar Ridge Plateau / Pediment,Undisturbed Evergreen Canopy,0,0.721,2168.6,41.9,38.24,0.146,0.46,0.012,45.2,5899.1,11680.1,22333.4,Low,VALID,4
SMP-POS-02122,11.39117,76.27003,2019-08-08T19:30:00,2019,Kerala,Malappuram,Western Ghats,1,CRITICAL,0.885,0.638,355.61470705767556,38.82,206.93,-0.19122424397287255,-0.2512005231729708,-0.1843519732758857,4.671232125275276,11.5,2.0,5.2,11.7,32.8,64.0,128.1,199.1,292.4,351.6,849.4,Colluvial Debris & Saprolite,2.39,Hornblende Gneiss & Charnockite Complex,4,Colluvial Fan & Valley Fill,Rubber Plantation & Rural Settlement,1,0.62,80.0,852.5,4.33,0.803,3.93,-0.309,444.4,127.3,1841.4,10060.0,High,VALID,4
SMP-POS-00824,18.91968,73.23312,2023-07-19T22:30:00,2023,Maharashtra,Raigad,Western Ghats,1,HIGH,0.835,1.158,458.34788000490977,40.37,250.61,0.1877910103564424,0.11125645927651973,-0.1507443220129212,5.112035490571778,8.7,1.1,3.6,18.0,32.4,61.1,102.1,144.0,218.1,453.2,835.9,Basaltic Boulder Colluvium,2.66,Deccan Volcanic Basalt Jointed Columnar,3,Escarpment & Talus Cone,Dense Scrub & Tribal Hamlet,1,0.356,286.1,160.8,5.2,0.775,4.31,-0.284,80.4,595.1,7524.4,11475.0,Very High,VALID,4
SMP-POS-01633,30.73856,79.07026,2013-06-16T18:30:00,2013,Uttarakhand,Rudraprayag,Himalayas,1,CRITICAL,0.838,0.695,3477.8395115410394,44.29,168.79,-0.3208129266952192,-0.5247855865931011,-0.29061431955004075,5.151106819106999,11.04,5.2,18.8,34.7,76.0,146.0,169.7,195.8,232.9,235.7,240.6,Glacial Till & Colluvial Boulders,3.81,Central Crystalline Biotite Gneiss & Granulite,3,Moraine Ridge & Glacio-Fluvial Outwash Plain,Bare Rock / Sparse Glacial Moraine & Town,2,0.549,11.8,639.1,0.95,0.99,5.85,-0.338,128.1,99.4,314.6,19705.8,Very High,VALID,4
SMP-POS-00297,24.79225,93.61933,2022-06-30T00:30:00,2022,Manipur,Noney,Himalayas,1,CRITICAL,0.883,0.78,479.3546829609017,48.21,240.14,-0.6069809412526848,-0.27384487125318085,-0.11605030420191467,5.333135502706755,6.02,0.0,0.0,0.0,1.4,3.8,14.0,30.8,49.6,176.0,271.0,Weathered Shale / Siltstone Colluvium,2.04,Disang Group Splintery Shale & Siltstone,5,Ijei River Valley Slope Cut,Railway Yard Infrastructure & Secondary Bamboo,2,0.382,23.0,148.6,3.58,0.878,5.23,-0.462,106.8,161.1,274.1,16849.1,Very High,VALID,4
SMP-NEG-00561,10.12974,76.98374,2022-11-15T12:00:00,2022,Kerala,Idukki,Western Ghats,0,LOW,0.228,3.277,1156.2143705171384,4.53,200.97,0.003135779180726788,0.0,0.0,0.33417369708630995,5.8,2.2,5.7,10.0,12.4,27.3,48.6,60.0,114.0,190.0,257.5,Residual Sandy Loam Over Crystalline Rock,0.52,Unweathered Crystalline Basement,1,Planar Ridge Plateau / Pediment,Undisturbed Evergreen Canopy,0,0.865,949.7,34.3,19.01,0.098,0.74,0.022,65.3,4031.1,7990.0,32207.2,Low,VALID,4
SMP-POS-00617,14.35443,74.58339,2024-07-16T08:30:00,2024,Karnataka,Uttara Kannada,Western Ghats,1,CRITICAL,0.854,0.804,71.09010370072255,47.31,284.19,-0.49166764824036,-0.25430522913776327,-0.38134627630303597,5.8789374453413865,13.06,2.0,4.5,10.0,37.3,88.8,183.7,266.6,403.7,702.2,1245.2,Laterite Over Crystalline Gneiss,1.86,Peninsular Gneiss Overlain by Deep Laterite Soil,4,Coastal Hill Foot & Gangavali River Scour,National Highway NH-66 Corridor & Scrub,2,0.651,19.3,226.6,6.41,0.743,3.54,-0.424,103.0,10.5,406.8,8935.4,Very High,VALID,4
SMP-POS-01509,11.53845,76.13834,2024-07-30T02:00:00,2024,Kerala,Wayanad,Western Ghats,1,CRITICAL,0.851,0.716,1119.8604880193457,39.12,226.14,-0.08054430970946114,-0.14688220129216178,-0.18247084482937115,5.472352495841309,13.29,1.7,5.3,7.8,16.4,51.7,106.3,115.6,189.9,402.5,631.5,Colluvium / Saprolite & Boulders,2.94,Charnockite & Weathered Hornblende-Biotite Gneiss,4,High-Relief Structural Escarpment,Tea Plantation & Shola Evergreen Forest,1,0.423,39.5,395.1,2.01,0.894,4.19,-0.249,298.4,170.6,401.1,4332.5,Very High,VALID,4
SMP-NEG-00204,31.13291,77.16691,2022-11-15T12:00:00,2022,Himachal Pradesh,Shimla,Himalayas,0,LOW,0.175,2.564,1770.0663696162649,4.86,317.31,0.013003257861421902,0.0,0.0,0.39178752586601184,5.78,2.2,5.7,8.1,22.9,32.5,63.7,107.2,146.9,242.6,303.0,Residual Sandy Loam Over Crystalline Rock,0.99,Unweathered Crystalline Basement,1,Planar Ridge Plateau / Pediment,Undisturbed Evergreen Canopy,0,0.761,721.5,156.3,33.12,0.117,-0.48,0.024,103.8,1219.4,6767.4,13427.9,Low,VALID,4
SMP-POS-01762,30.39015,79.73432,2021-02-07T10:00:00,2021,Uttarakhand,Chamoli,Himalayas,1,CRITICAL,0.861,0.867,5577.527414412773,48.29,310.42,-0.49686070042521996,0.18866299137759523,0.22374576417373077,6.056920479987789,11.14,0.0,0.0,0.0,0.0,0.0,0.0,4.3,12.3,12.3,12.3,Massive Migmatite / Quartzite & Hanging Glacier Ice,4.62,Higher Himalayan Crystallines (Vaikrita Group Gneiss),2,Glaciated Cirque Wall & Deep V-Shaped Gorge,Permafrost / Bare Rock & Alpine Meadow,1,0.436,18.7,425.8,1.06,0.893,6.01,-0.219,20.6,2618.8,4328.1,35506.7,Very High,VALID,4
SMP-NEG-00232,24.82314,93.65214,2016-11-15T12:00:00,2016,Manipur,Noney,Himalayas,0,LOW,0.06,3.721,30.0,3.05,259.48,-0.00512895115123433,0.0,0.0,0.2578012416944471,3.46,1.7,3.0,7.3,12.4,17.5,26.0,54.0,110.0,143.2,284.1,Residual Sandy Loam Over Crystalline Rock,0.42,Unweathered Crystalline Basement,1,Planar Ridge Plateau / Pediment,Undisturbed Evergreen Canopy,0,0.762,1594.9,149.5,29.33,0.1,0.4,0.048,22.8,4978.9,11981.3,8676.9,Low,VALID,4
SMP-NEG-01025,24.72003,93.54903,2018-11-15T12:00:00,2018,Manipur,Noney,Himalayas,0,LOW,0.041,1.979,30.0,4.44,215.51,-0.00563464043340794,0.0,0.0,0.3289576875899009,2.65,2.2,2.8,12.2,23.2,45.6,57.0,83.2,161.6,256.0,381.1,Residual Sandy Loam Over Crystalline Rock,0.41,Unweathered Crystalline Basement,1,Planar Ridge Plateau / Pediment,Undisturbed Evergreen Canopy,0,0.776,1405.0,12.7,18.29,0.083,-0.15,0.033,27.0,4742.8,11791.0,16166.9,Low,VALID,4
SMP-POS-02912,23.72743,92.71632,2024-05-28T06:00:00,2024,Mizoram,Aizawl,Himalayas,1,CRITICAL,0.817,0.791,1053.5985171323437,38.9,138.77,-0.35170031139800856,0.05817782820691053,-0.07125552692700071,4.756774558902875,7.57,0.0,0.4,2.1,17.3,73.5,98.3,121.2,172.5,191.6,260.8,Sandstone & Siltstone Weathered Overburden,4.78,Surma Group Sandstone & Shale Intercalations,4,Anticlinal Ridge Flank & Stone Quarry Cut,Quarry Site & Peri-Urban Hill Settlement,2,0.492,136.0,687.5,4.95,0.81,4.3,-0.429,374.8,29.1,1129.7,5267.7,High,VALID,4
SMP-NEG-01975,27.61694,88.57394,2019-02-15T12:00:00,2019,Sikkim,Mangan,Himalayas,0,LOW,0.129,3.588,1270.3051218035516,1.92,239.64,-0.018016954226267697,0.0,0.0,0.2,3.24,2.1,4.7,14.7,28.1,49.6,68.1,101.2,185.0,279.6,379.0,Residual Sandy Loam Over Crystalline Rock,0.79,Unweathered Crystalline Basement,1,Planar Ridge Plateau / Pediment,Undisturbed Evergreen Canopy,0,0.873,582.4,25.0,41.3,0.096,-0.18,0.025,31.6,773.7,7585.8,22634.0,Low,VALID,4
SMP-POS-02711,30.38443,79.72578,2021-02-07T10:00:00,2021,Uttarakhand,Chamoli,Himalayas,1,HIGH,0.91,1.15,5694.336363706178,61.67,322.83,-0.43854052693714457,-0.14143646823991793,-0.3288253788969413,7.6475453311210755,8.97,0.0,0.0,0.0,0.0,0.0,0.0,5.2,14.8,14.8,14.8,Massive Migmatite / Quartzite & Hanging Glacier Ice,2.42,Higher Himalayan Crystallines (Vaikrita Group Gneiss),2,Glaciated Cirque Wall & Deep V-Shaped Gorge,Permafrost / Bare Rock & Alpine Meadow,3,0.646,19.0,142.0,0.78,0.965,7.54,-0.55,25.8,2958.1,2179.7,24501.7,Very High,VALID,4
SMP-NEG-01058,18.98197,73.30297,2018-11-15T12:00:00,2018,Maharashtra,Raigad,Western Ghats,0,LOW,0.197,2.991,30.0,6.67,159.46,0.00012697334808511854,0.0,0.0,0.640527219702835,4.26,2.0,3.1,9.3,17.6,41.3,67.0,77.5,156.5,244.8,321.2,Residual Sandy Loam Over Crystalline Rock,0.6,Unweathered Crystalline Basement,1,Planar Ridge Plateau / Pediment,Undisturbed Evergreen Canopy,0,0.808,2167.6,47.6,19.69,0.105,-0.89,0.014,115.6,5000.6,9689.2,30673.7,Low,VALID,4
SMP-NEG-02473,11.43578,76.33078,2022-03-15T12:00:00,2022,Kerala,Malappuram,Western Ghats,0,LOW,0.056,2.972,30.0,2.55,320.23,0.04269093427226962,0.0,0.0,0.2,5.51,3.1,8.7,10.4,22.4,40.7,63.7,95.8,184.2,293.1,471.0,Residual Sandy Loam Over Crystalline Rock,0.99,Unweathered Crystalline Basement,1,Planar Ridge Plateau / Pediment,Undisturbed Evergreen Canopy,0,0.652,1431.9,15.9,26.31,0.13,0.4,0.029,96.2,1513.3,3835.8,6441.9,Low,VALID,4
SMP-NEG-00636,27.60961,88.56661,2016-01-15T12:00:00,2016,Sikkim,Mangan,Himalayas,0,LOW,0.107,2.086,1359.8498169926136,2.35,128.77,0.00146447269401694,0.0,0.0,0.28029844690651573,4.43,0.2,2.3,6.5,9.0,27.0,38.8,60.9,149.6,263.3,347.3,Residual Sandy Loam Over Crystalline Rock,0.65,Unweathered Crystalline Basement,1,Planar Ridge Plateau / Pediment,Undisturbed Evergreen Canopy,0,0.774,1250.7,94.1,28.98,0.086,0.42,0.019,122.3,2967.3,11522.8,9959.3,Low,VALID,4
SMP-POS-02300,27.58253,88.54586,2023-10-04T01:30:00,2023,Sikkim,Mangan,Himalayas,1,HIGH,0.828,0.965,1747.1725737977974,35.37,112.19,-0.7286305770744641,-0.18634618201900632,-0.22352099773315642,4.4260721403176335,11.03,0.1,0.5,2.5,7.1,9.7,11.9,12.0,12.9,54.3,72.0,Glacio-Fluvial Gravel & Schist Bedrock,3.03,Daling Group Chlorite-Sericite Schist & Gneiss,4,Confluence Terrace & Deep Fluvial Gorge,Township & Hydroelectric Dam Infrastructure,2,0.592,8.0,820.3,1.19,0.888,6.67,-0.268,425.7,23.1,26.8,11149.4,Very High,VALID,4
SMP-NEG-00920,31.57089,78.14689,2023-01-15T12:00:00,2023,Himachal Pradesh,Kinnaur,Himalayas,0,LOW,0.142,2.239,1885.9401437343972,5.48,259.08,-0.03240925991780997,0.0,0.0,0.5455979691002024,3.71,2.3,6.1,15.1,17.5,33.2,58.3,89.7,162.8,198.3,278.1,Residual Sandy Loam Over Crystalline Rock,0.91,Unweathered Crystalline Basement,1,Planar Ridge Plateau / Pediment,Undisturbed Evergreen Canopy,0,0.728,1167.9,40.8,40.05,0.159,-0.01,0.003,98.7,1472.1,9762.6,14535.4,Low,VALID,4
SMP-POS-00554,30.73427,79.06478,2013-06-16T18:30:00,2013,Uttarakhand,Rudraprayag,Himalayas,1,CRITICAL,0.783,0.571,3621.9506700073202,42.56,154.58,-0.7463115026824643,-0.1787045790661016,-0.1704788034865859,5.419306200811688,9.62,4.9,17.7,32.8,71.8,138.0,160.4,185.1,220.1,222.7,227.4,Glacial Till & Colluvial Boulders,2.76,Central Crystalline Biotite Gneiss & Granulite,4,Moraine Ridge & Glacio-Fluvial Outwash Plain,Bare Rock / Sparse Glacial Moraine & Town,2,0.568,18.4,1073.0,1.9,0.944,5.95,-0.381,153.9,64.7,271.5,19165.4,Very High,VALID,4
SMP-POS-00948,27.57516,88.54024,2023-10-04T01:30:00,2023,Sikkim,Mangan,Himalayas,1,CRITICAL,0.852,0.705,1737.9175951237457,46.18,131.16,-0.20280278069421173,-0.2948630950445239,-0.31491604602070283,5.692360628904879,8.57,0.1,0.5,2.6,7.4,10.0,12.3,12.4,13.4,56.5,74.9,Glacio-Fluvial Gravel & Schist Bedrock,3.18,Daling Group Chlorite-Sericite Schist & Gneiss,4,Confluence Terrace & Deep Fluvial Gorge,Township & Hydroelectric Dam Infrastructure,3,0.398,8.2,185.0,1.71,0.969,5.57,-0.533,393.2,24.7,64.8,11185.8,Very High,VALID,4
SMP-NEG-01597,24.82916,93.65816,2022-03-15T12:00:00,2022,Manipur,Noney,Himalayas,0,LOW,0.078,4.384,48.23441284530975,2.84,270.72,0.05,0.0,0.0,0.2,4.67,0.5,3.2,4.4,8.9,30.7,51.4,86.4,117.8,182.2,338.6,Residual Sandy Loam Over Crystalline Rock,0.43,Unweathered Crystalline Basement,1,Planar Ridge Plateau / Pediment,Undisturbed Evergreen Canopy,0,0.723,1959.6,73.2,13.44,0.02,0.12,-0.046,70.7,5572.8,9057.4,5040.2,Low,VALID,4
SMP-NEG-01800,14.28759,74.50559,2022-11-15T12:00:00,2022,Karnataka,Uttara Kannada,Western Ghats,0,LOW,0.147,2.873,30.0,9.8,121.34,-0.006423317770887745,0.0,0.0,0.5774474864922221,5.8,0.9,4.1,8.4,13.1,24.1,38.5,61.8,149.3,263.6,399.7,Residual Sandy Loam Over Crystalline Rock,1.0,Unweathered Crystalline Basement,1,Planar Ridge Plateau / Pediment,Undisturbed Evergreen Canopy,0,0.74,2790.8,132.7,37.56,0.13,0.22,0.064,104.2,1367.1,9996.5,29025.6,Low,VALID,4
SMP-NEG-01742,23.68173,92.67173,2023-02-15T12:00:00,2023,Mizoram,Aizawl,Himalayas,0,LOW,0.105,2.387,551.4102121357439,2.33,292.0,-0.0022682124527272675,0.0,0.0,0.2,4.05,1.4,6.9,14.7,27.6,36.7,71.0,81.4,148.5,225.5,359.2,Residual Sandy Loam Over Crystalline Rock,1.07,Unweathered Crystalline Basement,1,Planar Ridge Plateau / Pediment,Undisturbed Evergreen Canopy,0,0.694,2064.9,336.9,43.04,0.201,-0.11,-0.009,99.0,560.9,9458.1,31111.1,Low,VALID,4
SMP-NEG-01412,30.70515,79.03715,2023-03-15T12:00:00,2023,Uttarakhand,Rudraprayag,Himalayas,0,LOW,0.135,3.384,3149.428500597578,3.64,241.78,-0.05,0.0,0.0,0.28416997229012525,4.52,0.4,5.9,10.5,13.2,20.4,35.1,46.4,111.1,185.5,349.3,Residual Sandy Loam Over Crystalline Rock,0.96,Unweathered Crystalline Basement,1,Planar Ridge Plateau / Pediment,Undisturbed Evergreen Canopy,0,0.696,926.4,96.8,23.59,0.144,-0.19,-0.051,111.8,3397.4,11280.7,4075.6,Low,VALID,4
SMP-NEG-00590,18.94492,73.26592,2021-03-15T12:00:00,2021,Maharashtra,Raigad,Western Ghats,0,LOW,0.215,4.425,133.8066302827981,1.5,343.91,-0.006795303072052497,0.0,0.0,0.2,4.49,3.8,4.6,6.2,18.1,35.9,63.4,82.9,131.1,212.7,361.6,Residual Sandy Loam Over Crystalline Rock,0.65,Unweathered Crystalline Basement,1,Planar Ridge Plateau / Pediment,Undisturbed Evergreen Canopy,0,0.743,2039.8,10.4,39.34,0.109,0.07,0.006,37.4,3837.9,1722.7,14309.8,Low,VALID,4
SMP-POS-02466,31.10358,77.12919,2023-08-14T07:15:00,2023,Himachal Pradesh,Shimla,Himalayas,1,HIGH,0.931,1.114,2039.73347861736,33.8,203.97,-0.3156022987080759,-0.22312198548008313,-0.23463650965482397,3.77052719697712,7.03,0.4,0.6,2.3,9.5,60.1,84.1,97.2,113.3,138.4,307.8,Weathered Phyllite & Colluvial Soil,2.09,Jutogh Group Carbonaceous Phyllite & Schist,4,Denudational Ridge & Spring Hollow,Dense Deodar Pine Forest & Heritage Railway,2,0.41,54.3,470.9,3.15,0.744,3.76,-0.329,1134.5,138.8,135.8,3496.7,Very High,VALID,4
SMP-NEG-01872,23.744,92.734,2022-01-15T12:00:00,2022,Mizoram,Aizawl,Himalayas,0,LOW,0.13,2.184,376.30472668652465,4.71,110.83,-0.033455627390411476,0.0,0.0,0.21614292345499356,3.24,2.6,8.2,10.9,17.2,32.3,66.0,108.4,158.6,192.2,286.9,Residual Sandy Loam Over Crystalline Rock,0.67,Unweathered Crystalline Basement,1,Planar Ridge Plateau / Pediment,Undisturbed Evergreen Canopy,0,0.84,1823.1,22.2,25.21,0.092,-0.16,0.007,121.6,3612.5,2881.1,8340.3,Low,VALID,4
